

This file contains an example of calculations of DCW and endpoint
for SMILES that is inserted in dialog box
O=C(c1ncc(s1)C1CC1)Nc1nccc(n1)n1cnc2c1ccc(c2)C(F)(F)F
Selected threshold is 1

SMILES attribute (SA) : Correlation Weight :   SA defect
          F...(...C...:                 0.0:     0.00000
          (...F...(...:              0.0059:     1.00000
          F...(...(...:                 0.0:     0.00000
          F...(...(...:                 0.0:     0.00000
          (...F...(...:              0.0059:     1.00000
          F...(...F...:                 0.0:     0.00000
          NOSP11000000:             -0.2008:     0.00120
          HALO10000000:              1.2307:     1.00000
          BOND10000000:              0.3736:     1.00000
          $10011001000:                 0.0:     0.00000
          [xyx6]......:             -0.4470:     0.00855
          [xyyx1].....:              0.6698:     0.03333
          [xyzyx0]....:             -0.6498:     0.00111
-----            SMILES defect          ----    20.41789

2 * Average SMILESdefect =     7.97533

This SMILES does not fall into Domain of applicability

DCW=     19.7377  Prediction for EndPoint=      6.4451

    :   O:   C:   C:   N:   C:   C:   S:   C:   C:   C:   N:   C:   N:   C:   C:   C:   N:   N:   C:   N:   C:   C:   C:   C:   C:   C:   C:   F:   F:   F:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H: EC0: EC1: EC2: EC3: PT2: PT3: PT4: S2 : S3 : NNC 
   O:   0:   2:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 110
   C:   2:   0:   1:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  17:  43:   4:   4:   6:   8:  10: 312
   C:   0:   1:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  19:  46:   4:   6:  12:  10:  15: 312
   N:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  13:  37:   4:   5:   9:   9:  13: 220
   C:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   6:  18:  43:   3:   6:  14:   9:  17: 312
   C:   0:   0:   0:   0:   1:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   9:  24:  67:   6:   9:  23:  15:  20: 321
   S:   0:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  16:  43:   4:   8:  18:  12:  19: 220
   C:   0:   0:   0:   0:   0:   1:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:  12:  33:  96:   8:   7:  17:  17:  10: 431
   C:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:  10:  30:  83:   6:   6:  16:  14:  11: 422
   C:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   4:  10:  30:  83:   6:   6:  16:  14:  11: 422
   N:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   3:   7:  17:  43:   4:   4:   6:   8:  10: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  19:  45:   4:   6:  12:  10:  14: 303
   N:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  13:  35:   4:   5:   9:   9:  11: 220
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   3:   6:  16:  36:   3:   4:   8:   7:  10: 312
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   3:   7:  17:  45:   4:   4:   6:   8:  12: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   8:  22:  55:   5:   8:  16:  13:  17: 312
   N:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  15:  41:   4:   7:  13:  11:  17: 220
   N:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   9:  23:  64:   6:   8:  14:  14:  19: 330
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   3:   6:  18:  43:   3:   6:  12:   9:  17: 303
   N:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  14:  40:   4:   6:  12:  10:  16: 220
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   8:  22:  59:   5:   8:  16:  13:  21: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   9:  24:  64:   6:   9:  17:  15:  19: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   3:   7:  19:  51:   4:   6:  12:  10:  18: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   3:   7:  20:  46:   4:   7:  17:  11:  13: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:  10:  20:  63:   7:   4:   8:  11:   9: 330
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  21:  49:   4:   8:  18:  12:  16: 321
   C:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   1:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:   6:  22:  38:   2:   4:   8:   6:   8: 413
   F:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 110
   F:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 110
   F:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 110
   H:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   6:  18:   2:   3:   5:   5:   9: 110
   H:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:  12:  33:   3:   8:  22:  11:  17: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:  10:  30:   3:   6:  18:   9:  14: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:  10:  30:   3:   6:  18:   9:  14: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:  10:  30:   3:   6:  18:   9:  14: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:  10:  30:   3:   6:  18:   9:  14: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 101
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   6:  16:   2:   3:   5:   5:   7: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   6:  18:   2:   3:   5:   5:   9: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  19:   2:   4:   8:   6:  10: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  20:   2:   4:   8:   6:  11: 110
   H:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  21:   2:   4:   8:   6:  12: 110
